City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,71.4,78,69,24.74,light rain
1,Mar Del Plata,AR,-38.0023,-57.5575,46.87,79,40,4.61,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,65.48,42,100,3.89,overcast clouds
3,Sitka,US,57.0531,-135.33,35.49,80,0,5.75,clear sky
4,Crnomelj,SI,45.5711,15.1889,50.0,69,39,3.78,scattered clouds
5,Carnarvon,AU,-24.8667,113.6333,76.33,36,0,14.61,clear sky
6,Caucaia,BR,-3.7361,-38.6531,79.03,76,40,8.05,scattered clouds
7,Tiksi,RU,71.6872,128.8694,-1.23,98,57,7.76,broken clouds
8,Albany,US,42.6001,-73.9662,57.94,84,100,1.95,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,100,10.36,light snow
10,Ushuaia,AR,-54.8,-68.3,38.86,87,0,20.71,clear sky
11,Haines Junction,CA,60.7522,-137.5108,17.55,62,99,3.44,overcast clouds
12,Dudinka,RU,69.4058,86.1778,22.62,89,100,25.81,overcast clouds
13,Ambagarh Chauki,IN,20.7833,80.7167,76.35,55,3,7.87,clear sky
14,Qaqortoq,GL,60.7167,-46.0333,15.03,81,15,5.48,few clouds
15,Busselton,AU,-33.65,115.3333,63.86,59,98,5.01,overcast clouds
16,Jieshi,CN,22.8134,115.8257,68.4,78,100,26.24,moderate rain
17,Butaritari,KI,3.0707,172.7902,81.36,76,52,13.96,broken clouds
18,Okha,RU,53.5739,142.9478,42.85,82,100,8.72,overcast clouds
19,Mega,ET,4.05,38.3,62.89,74,6,9.42,clear sky
20,Cap Malheureux,MU,-19.9842,57.6142,77.47,64,17,8.99,few clouds
21,Shache,CN,38.4167,77.2406,55.71,25,99,3.67,overcast clouds
22,Hilo,US,19.7297,-155.09,73.26,96,100,8.05,moderate rain
23,Gamba,GA,-2.65,10.0,76.08,93,100,1.9,overcast clouds
24,Adwa,ET,14.1646,38.8955,65.21,30,54,3.09,broken clouds
25,Tilichiki,RU,60.4667,166.1,0.68,84,2,12.57,clear sky
26,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,4.61,clear sky
27,Bredasdorp,ZA,-34.5322,20.0403,60.35,70,13,20.62,few clouds
28,Hermanus,ZA,-34.4187,19.2345,58.8,75,17,22.84,few clouds
29,Putina,PE,-15.4667,-69.4333,45.82,75,47,9.64,scattered clouds
30,Hofn,IS,64.2539,-15.2082,43.16,81,45,4.63,scattered clouds
31,Atuona,PF,-9.8,-139.0333,76.82,72,0,11.23,clear sky
32,Lebu,CL,-37.6167,-73.65,50.74,79,0,16.22,clear sky
33,Mount Isa,AU,-20.7333,139.5,82.17,18,13,8.05,few clouds
34,Lagos,NG,6.5833,3.75,77.32,95,32,2.28,scattered clouds
35,Acapulco,MX,16.8634,-99.8901,76.82,88,20,2.3,few clouds
36,Launceston,AU,-41.45,147.1667,58.6,57,75,20.71,light rain
37,Port Elizabeth,ZA,-33.918,25.5701,62.1,86,0,8.05,clear sky
38,Yarada,IN,17.65,83.2667,86.32,62,40,5.75,haze
39,Marechal Candido Rondon,BR,-24.5561,-54.0567,51.26,86,100,15.99,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,67.37,83,93,8.14,overcast clouds
41,Saldanha,ZA,-33.0117,17.9442,59.02,63,3,11.12,clear sky
42,Kapaa,US,22.0752,-159.319,80.58,80,40,13.8,scattered clouds
43,New Norfolk,AU,-42.7826,147.0587,51.71,53,99,1.01,light rain
44,Vanavara,RU,60.34,102.2797,24.4,71,99,8.12,overcast clouds
45,Mahebourg,MU,-20.4081,57.7,79.09,65,40,12.66,scattered clouds
46,Lavrentiya,RU,65.5833,-171.0,21.81,92,100,11.14,light snow
47,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,17.27,scattered clouds
48,Kruisfontein,ZA,-34.0033,24.7314,59.88,71,8,7.87,clear sky
49,Xinxiang,CN,35.3089,113.8672,69.17,37,3,6.98,clear sky
50,Thompson,CA,55.7435,-97.8558,23.16,68,100,12.66,overcast clouds
51,Cherskiy,RU,68.75,161.3,-17.45,100,99,4.61,overcast clouds
52,Narsaq,GL,60.9167,-46.05,21.42,77,14,6.29,few clouds
53,Gimli,CA,50.6336,-96.9907,48.22,49,98,6.91,overcast clouds
54,Powell,US,40.1578,-83.0752,58.53,94,20,5.75,few clouds
55,Upernavik,GL,72.7868,-56.1549,20.86,68,96,3.47,overcast clouds
56,Chipiona,ES,36.7366,-6.437,61.3,94,20,3.44,mist
57,Ozinki,RU,51.1786,49.6769,31.5,82,98,14.52,overcast clouds
58,Grindavik,IS,63.8424,-22.4338,41.47,87,75,11.5,broken clouds
59,Itarema,BR,-2.9248,-39.9167,78.04,80,52,13.47,broken clouds
60,Yerofey Pavlovich,RU,53.9667,121.9667,23.47,57,100,12.71,overcast clouds
61,Vila Do Maio,CV,15.1333,-23.2167,77.79,71,100,11.92,overcast clouds
62,Zeya,RU,53.75,127.2667,31.62,95,100,8.77,light snow
63,Punta Arenas,CL,-53.15,-70.9167,44.11,87,100,23.06,light rain
64,La Rioja,ES,42.25,-2.5,42.58,89,3,5.06,clear sky
65,Kaitangata,NZ,-46.2817,169.8464,68.65,53,98,8.86,overcast clouds
66,Klaksvik,FO,62.2266,-6.589,45.52,85,100,11.43,overcast clouds
67,Strzelce Opolskie,PL,50.5107,18.3006,49.95,69,99,7.96,overcast clouds
68,Qaanaaq,GL,77.484,-69.3632,13.8,71,100,4.74,overcast clouds
69,Husavik,IS,66.0449,-17.3389,38.46,97,100,5.32,overcast clouds
70,Hualmay,PE,-11.0964,-77.6139,61.0,86,4,9.91,clear sky
71,Carutapera,BR,-1.195,-46.02,79.66,81,99,9.28,overcast clouds
72,Shimanovsk,RU,52.0,127.7,32.41,96,100,7.74,snow
73,Chuy,UY,-33.6971,-53.4616,44.1,73,7,7.36,clear sky
74,Bacolod,PH,10.6667,122.95,86.54,68,11,7.94,few clouds
75,Morant Bay,JM,17.8815,-76.4093,78.42,86,32,10.54,light rain
76,Juneau,US,58.3019,-134.4197,38.21,97,100,0.0,overcast clouds
77,Yellowknife,CA,62.456,-114.3525,14.56,85,100,10.36,light snow
78,Grand Gaube,MU,-20.0064,57.6608,79.2,64,18,8.99,few clouds
79,Bethel,US,41.3712,-73.414,59.31,87,100,5.01,light rain
80,El Sauzal,MX,31.9,-116.6833,65.82,61,100,2.21,overcast clouds
81,Saskylakh,RU,71.9167,114.0833,17.69,91,100,15.61,light snow
82,Souillac,MU,-20.5167,57.5167,79.18,65,40,12.66,scattered clouds
83,Sept-Iles,CA,50.2001,-66.3821,42.8,74,100,5.75,overcast clouds
84,Castro,BR,-24.7911,-50.0119,53.58,95,100,13.18,overcast clouds
85,Sinnamary,GF,5.3833,-52.95,78.73,88,97,11.32,overcast clouds
86,Vaini,TO,-21.2,-175.2,78.96,89,75,5.75,broken clouds
87,Wenling,CN,28.3669,121.36,70.61,58,99,20.85,overcast clouds
88,Yarmouth,US,41.7057,-70.2286,60.96,94,100,9.22,overcast clouds
89,Santa Barbara,US,34.7333,-120.0343,59.34,93,40,6.91,scattered clouds
90,Ichinohe,JP,40.2069,141.3017,59.47,63,67,10.31,broken clouds
91,Santa Rosa,PH,14.3122,121.1114,87.1,78,100,5.37,overcast clouds
92,Esil,KZ,51.9556,66.4042,40.57,74,100,19.08,overcast clouds
93,Avarua,CK,-21.2078,-159.775,75.25,78,75,12.66,broken clouds
94,Baltasi,RU,56.3462,50.2062,29.98,95,73,1.83,broken clouds
95,Sola,VU,-13.8833,167.55,81.57,69,13,4.03,few clouds
96,Hobart,AU,-42.8794,147.3294,52.05,85,75,18.41,light intensity shower rain
97,Avera,US,33.194,-82.5271,65.71,84,89,5.55,overcast clouds
98,East London,ZA,-33.0153,27.9116,59.94,82,20,2.3,few clouds
99,Davila,PH,18.4726,120.5763,89.58,73,95,2.17,overcast clouds
100,Mao,ES,39.8885,4.2658,68.56,88,0,4.61,clear sky
101,Saint George,US,37.1041,-113.5841,58.95,31,0,11.5,clear sky
102,Kodiak,US,57.79,-152.4072,29.71,47,0,8.05,clear sky
103,Burnie,AU,-41.0667,145.9167,53.94,59,82,13.42,light rain
104,Bluff,NZ,-46.6,168.3333,65.8,51,99,10.89,overcast clouds
105,Hasaki,JP,35.7333,140.8333,63.28,72,100,6.02,overcast clouds
106,Dzerzhinsk,RU,56.2389,43.4631,35.42,93,100,13.42,overcast clouds
107,Ziro,IN,27.6333,93.8333,63.34,34,0,1.95,clear sky
108,Georgiyevka,KZ,43.0369,74.7114,50.04,62,0,6.71,clear sky
109,Male,MV,4.1748,73.5089,85.95,70,75,11.5,broken clouds
110,Deputatskiy,RU,69.3,139.9,-14.19,90,99,1.66,overcast clouds
111,Dikson,RU,73.5069,80.5464,24.66,95,100,11.01,light snow
112,Merauke,ID,-8.4667,140.3333,86.72,67,29,6.53,scattered clouds
113,Codrington,AU,-38.2667,141.9667,50.95,66,95,21.83,moderate rain
114,Ames,US,42.0347,-93.6199,52.65,43,0,5.75,clear sky
115,Nikolskoye,RU,59.7035,30.7861,37.29,93,100,5.41,overcast clouds
116,Chokurdakh,RU,70.6333,147.9167,-15.93,100,56,5.64,broken clouds
117,Teya,RU,60.3778,92.6267,27.39,43,20,3.71,few clouds
118,Humaita,BR,-7.5061,-63.0208,75.04,93,90,2.55,overcast clouds
119,Umm Lajj,SA,25.0213,37.2685,78.87,53,47,8.99,scattered clouds
120,Bonavista,CA,48.6499,-53.1147,41.63,74,50,17.9,scattered clouds
121,Cape Town,ZA,-33.9258,18.4232,61.88,64,0,6.91,clear sky
122,Esperance,AU,-33.8667,121.9,60.96,69,67,12.17,broken clouds
123,Soyo,AO,-6.1349,12.3689,78.39,87,88,4.76,overcast clouds
124,Iqaluit,CA,63.7506,-68.5145,17.33,67,75,11.5,broken clouds
125,Santiago Del Estero,AR,-27.7951,-64.2615,49.37,25,0,4.14,clear sky
126,Hall,US,34.3168,-83.7832,57.54,87,75,0.0,broken clouds
127,Huarmey,PE,-10.0681,-78.1522,61.43,88,13,9.28,few clouds
128,Kapit,MY,2.0167,112.9333,82.47,79,100,1.95,heavy intensity rain
129,Hithadhoo,MV,-0.6,73.0833,81.66,76,91,12.95,overcast clouds
130,Khandyga,RU,62.6667,135.6,14.61,90,95,2.55,overcast clouds
131,Ingraj Bazar,IN,25.0,88.15,82.27,60,0,6.96,clear sky
132,Ostrovnoy,RU,68.0531,39.5131,33.69,81,100,5.77,overcast clouds
133,Norman Wells,CA,65.282,-126.8329,0.57,95,94,7.09,overcast clouds
134,Ponta Do Sol,PT,32.6667,-17.1,70.72,86,93,2.73,overcast clouds
135,Kasongo,CD,-4.45,26.6667,68.54,95,78,1.39,light rain
136,Nanortalik,GL,60.1432,-45.2371,23.47,73,10,8.41,clear sky
137,Haukipudas,FI,65.1765,25.3523,39.25,84,100,6.71,overcast clouds
138,Aklavik,CA,68.2191,-135.0107,-5.53,100,97,1.79,overcast clouds
139,Bengkulu,ID,-3.8004,102.2655,83.03,69,39,6.11,scattered clouds
140,Ascension,US,30.2169,-90.9001,60.08,92,0,0.0,clear sky
141,Port Lincoln,AU,-34.7333,135.8667,55.76,55,71,27.27,broken clouds
142,Torbay,CA,47.6666,-52.7314,45.75,86,75,13.8,broken clouds
143,Megion,RU,61.0296,76.1136,26.62,74,100,13.06,overcast clouds
144,Ilulissat,GL,69.2167,-51.1,26.62,86,100,4.61,overcast clouds
145,Dongsheng,CN,39.8161,109.9776,51.51,41,2,19.62,clear sky
146,Nazareno,MX,25.3833,-103.4167,61.5,49,0,4.43,clear sky
147,Isla Vista,US,34.4133,-119.861,65.01,76,0,3.44,clear sky
148,Cidreira,BR,-30.1811,-50.2056,55.94,73,100,14.36,overcast clouds
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,35,0,6.71,clear sky
150,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,47.89,39,0,6.73,clear sky
151,Vanimo,PG,-2.6741,141.3028,84.15,80,100,7.72,overcast clouds
152,Sorsk,RU,54.0033,90.2467,36.59,73,99,2.95,overcast clouds
153,Samarai,PG,-10.6167,150.6667,85.46,73,16,15.43,few clouds
154,Westport,US,41.1415,-73.3579,60.84,88,100,8.05,heavy intensity rain
155,Betioky,MG,-23.7167,44.3833,82.04,54,6,2.86,clear sky
156,Katsuura,JP,35.1333,140.3,64.29,73,100,6.26,light rain
157,Adrar,MR,20.5022,-10.0711,72.25,17,0,9.44,clear sky
158,Joao Pinheiro,BR,-17.7425,-46.1725,71.31,79,97,1.95,overcast clouds
159,Korla,CN,41.7597,86.1469,54.14,29,29,5.28,scattered clouds
160,Kupino,RU,54.3663,77.2981,34.14,84,77,9.22,broken clouds
161,Sao Filipe,CV,14.8961,-24.4956,79.48,69,100,4.7,overcast clouds
162,Asau,RO,46.4333,26.4,38.32,89,5,3.91,clear sky
163,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.56,96,96,0.78,overcast clouds
164,Khorinsk,RU,52.1657,109.7726,25.65,47,54,6.82,broken clouds
165,Sicuani,PE,-14.2694,-71.2261,48.38,68,79,4.14,broken clouds
166,Ust-Kuyga,RU,70.0167,135.6,-3.91,91,100,5.88,overcast clouds
167,Heubach,DE,48.7927,9.9337,58.68,82,100,9.28,light rain
168,Aswan,EG,24.0934,32.907,68.5,38,14,8.81,few clouds
169,Oytal,KZ,42.9057,73.2697,53.96,53,2,7.2,clear sky
170,Jamestown,US,42.097,-79.2353,58.59,94,100,3.44,overcast clouds
171,Anadyr,RU,64.75,177.4833,14.5,79,40,26.84,light snow
172,Amahai,ID,-3.3333,128.9167,86.41,70,78,7.29,broken clouds
173,Christchurch,NZ,-43.5333,172.6333,74.32,33,1,9.22,clear sky
174,Flinders,AU,-34.5833,150.8552,70.05,52,6,15.01,clear sky
175,North Bend,US,43.4065,-124.2243,52.92,99,100,4.61,mist
176,Laguna,US,38.421,-121.4238,60.78,73,0,5.75,clear sky
177,Touros,BR,-5.1989,-35.4608,77.0,72,61,12.46,broken clouds
178,Casper,US,42.8666,-106.3131,48.79,45,0,14.97,clear sky
179,Ancud,CL,-41.8697,-73.8203,42.13,76,0,4.81,clear sky
180,Kamenka,RU,51.3223,42.7678,34.66,94,100,16.91,light snow
181,Xichang,CN,27.8964,102.2634,70.45,53,16,1.88,few clouds
182,Thinadhoo,MV,0.5333,72.9333,81.28,79,99,18.12,overcast clouds
183,Beberibe,BR,-4.1797,-38.1306,79.12,74,99,12.44,overcast clouds
184,Surt,LY,31.2089,16.5887,69.48,58,3,6.49,clear sky
185,Acarau,BR,-2.8856,-40.12,77.9,82,64,13.62,broken clouds
186,Buchanan,LR,5.8808,-10.0467,76.3,88,100,3.98,light rain
187,Mishan,CN,45.55,131.8833,43.27,30,3,18.21,clear sky
188,Pachora,IN,20.6667,75.35,79.65,41,0,6.62,clear sky
189,Whitehorse,CA,60.7161,-135.0538,18.37,79,100,9.22,light snow
190,Yulara,AU,-25.2406,130.9889,73.08,26,0,17.94,clear sky
191,Pisco,PE,-13.7,-76.2167,57.25,88,100,3.44,mist
192,Sambava,MG,-14.2667,50.1667,76.48,70,34,9.28,scattered clouds
193,Tasiilaq,GL,65.6145,-37.6368,31.28,97,100,7.49,snow
194,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,40,12.66,scattered clouds
195,Jaru,BR,-10.4389,-62.4664,64.44,96,100,12.01,overcast clouds
196,Pevek,RU,69.7008,170.3133,7.11,96,100,6.6,overcast clouds
197,Auki,SB,-8.7676,160.7034,82.53,78,30,3.09,scattered clouds
198,Ribeira Grande,PT,38.5167,-28.7,61.77,74,100,4.0,overcast clouds
199,Kansanshi,ZM,-12.0951,26.4273,64.11,80,100,5.59,overcast clouds
200,Suoyarvi,RU,62.0833,32.35,34.3,92,100,6.29,snow
201,Monrovia,LR,6.3005,-10.7969,76.32,85,93,2.1,moderate rain
202,Horsham,GB,51.064,-0.3272,59.25,82,20,17.27,light rain
203,Kahului,US,20.8947,-156.47,80.62,74,20,14.97,few clouds
204,Torit,SS,4.4133,32.5678,76.62,67,47,2.46,scattered clouds
205,Natal,BR,-5.795,-35.2094,75.85,83,20,6.91,few clouds
206,Paita,PE,-5.0892,-81.1144,60.51,89,24,9.93,few clouds
207,Muros,ES,42.7762,-9.0603,47.68,70,79,9.04,broken clouds
208,Luena,AO,-11.7833,19.9167,62.69,94,86,1.9,overcast clouds
209,Manado,ID,1.487,124.8455,92.17,66,40,4.61,thunderstorm
210,Skjervoy,NO,70.0311,20.9714,37.4,90,100,8.75,overcast clouds
211,Hambantota,LK,6.1241,81.1185,85.55,67,96,19.66,overcast clouds
212,Omboue,GA,-1.5746,9.2618,75.78,94,100,3.74,light rain
213,Guerrero Negro,MX,27.9769,-114.0611,67.35,68,7,5.82,clear sky
214,San Patricio,US,28.017,-97.5169,76.86,75,94,8.05,overcast clouds
215,Kampene,CD,-3.6,26.6667,69.28,97,62,0.74,broken clouds
216,Pauini,BR,-7.7136,-66.9764,73.27,95,83,0.83,broken clouds
217,Nouadhibou,MR,20.931,-17.0347,73.38,46,0,10.36,clear sky
218,Fairbanks,US,64.8378,-147.7164,2.3,85,75,0.0,broken clouds
219,Port Alfred,ZA,-33.5906,26.891,62.19,80,68,1.01,broken clouds
220,Antalaha,MG,-14.9003,50.2788,77.05,65,42,6.08,scattered clouds
221,Bay City,US,43.5945,-83.8889,55.72,96,75,4.61,fog
222,Tiarei,PF,-17.5333,-149.3333,73.42,82,100,23.29,moderate rain
223,Chaihe,CN,44.7667,129.7,41.38,29,0,17.13,clear sky
224,Cayenne,GF,4.9333,-52.3333,78.84,89,0,5.75,clear sky
225,Severo-Kurilsk,RU,50.6789,156.125,38.32,71,14,10.2,few clouds
226,Haysville,US,37.5645,-97.3523,58.26,49,0,4.61,clear sky
227,Mayo,US,38.8876,-76.5119,61.52,95,100,9.22,overcast clouds
228,Shenjiamen,CN,29.9576,122.298,67.28,60,100,20.38,overcast clouds
